City,Restaurant,Price,Avg ratings,Total ratings,Delivery time
Bangalore,Tandoor Hut,300,4.4,100,59
Bangalore,Tunday Kababi,300,4.1,100,56
Bangalore,Kim Lee,650,4.4,100,50
Bangalore,New Punjabi Hotel,250,3.9,500,57
Bangalore,Nh8,350,4,50,63
Bangalore,Treat,800,4.5,100,56
Bangalore,Chinita Real Mexican Food,1000,4.5,500,53
Bangalore,Cupcake Noggins - Cakespastries And Desserts,150,4.3,100,57
Bangalore,Tea Brew,350,4.1,100,57
Bangalore,Bangaliana,300,4,500,57
Bangalore,Bamey'S Restro Cafe,400,4.4,100,56
Bangalore,Altaf'S Chillies Restaurants,250,4.3,500,55
Bangalore,Chichabas Taj,532,4.2,100,54
Bangalore,Urban Solace,500,2.9,80,48
Bangalore,Kaati Zone Rolls & Wraps,150,4.3,100,59
Bangalore,Aalishan Restaurant & Caterer,290,4.3,100,52
Bangalore,Kerala Pavilion,300,4.1,100,55
Bangalore,Kitchen Of Joy,250,4.4,100,55
Bangalore,Nagarjuna Chimney,800,4.2,1000,48
Hyderabad,So. The Sky Kitchen,800,2.9,80,90
Bangalore,Esplanade,1200,4.3,100,54
Bangalore,Hotel New Karavali,250,3.8,100,53
Hyderabad,Dine Hill,400,4.1,500,49
Hyderabad,Sarvi Restaurant,400,4.1,5000,56
Hyderabad,Sarvi Bakery,250,4.1,100,58
Mumbai,Kung Fu Panda,600,4.3,100,58
Mumbai,Kosho,300,4.2,100,56
Hyderabad,Chinese Pavilion,850,4.3,500,64
Hyderabad,Chef Inam'S Steak House,1200,4.2,100,69
Bangalore,Mamagoto,900,4.2,100,59
Mumbai,Hakka Express,300,4,100,48
Bangalore,The Brekkie Shop - All Day Menu,200,4.3,500,57
Pune,Juice Destination,200,4.2,500,60
Pune,Hyderabadi Spice,400,4.2,1000,58
Pune,Cafe Peterdonuts,400,4.1,50,71
Pune,Karolbaug,750,4.1,50,72
Mumbai,The Punjabi'S Kitchen,500,4.4,500,65
Hyderabad,Aangan - Yatri Nivas,500,4.1,100,66
Hyderabad,Bluefox,800,4.2,1000,68
Pune,Taaareef,1100,4.4,100,67
Hyderabad,Flavours Of Taj Mahal Hotel,300,4.2,1000,57
Hyderabad,Ohri'S Eatmor,600,4.2,500,37
Hyderabad,Ohri'S Ming'S Court,500,4,1000,39
Hyderabad,Minerva Coffee Shop,500,4.3,1000,30
Hyderabad,Bluefox,800,4.1,1000,36
Bangalore,Art Of Delight,250,4.6,100,34
Bangalore,Khan Saheb Grills And Rolls,300,4.3,50,39
Bangalore,Fanoos,300,4.2,500,33
Bangalore,In Wok,500,4.3,100,44
Bangalore,Lakeview Milkbar,450,4.1,100,31
Bangalore,C Sharp Kitchen,300,2.9,80,33
Bangalore,Roomali,1000,4.4,100,35
Bangalore,Tadka Singh,300,4.2,100,38
Bangalore,Bheemas,550,4.3,100,31
Bangalore,Watson'S,450,2.9,80,53
Mumbai,Sai Leela,500,4.2,20,63
Kolkata,Tandoori Darbar,500,4.4,100,71
Kolkata,Ballygunge Dhaba,500,4.3,500,59
Kolkata,Tero Parbon,500,4.3,100,72
Kolkata,Wise Owl The Coffee Shop,700,4.3,100,76
Kolkata,Aminia Restaurant- Golpark,500,4.3,1000,67
Kolkata,Bedouin - Sher E Bengal,500,2.9,80,70
Kolkata,Sharma Dhaba,300,4.2,1000,54
Bangalore,Kund Indian Barbeque,200,4.2,100,58
Kolkata,Jai Hind Dhaba,500,4.3,1000,60
